speed_kph,tire_condition,road_friction_coefficient,brake_type,brake_pad_life,weather_condition,vehicle_load_kg,abs_system,brake_fluid_condition,stopping_distance_m
76.92507506273628,Fair,0.5098819728281297,Ceramic,84.70657883850195,Wet,468.66187827799115,Yes,,78.11831010106582
98.75919339038668,New,0.5840981920421575,Disc,25.381341565887517,Wet,301.6308068493954,Yes,Good,127.39246950243762
149.61905241734883,Good,0.7712803595917153,Disc,43.5032777705277,Dry,653.5437660008054,Yes,Fresh,144.8513786157601
133.0821785244922,Good,0.4351972357972652,Drum,64.03192169581736,Dry,211.51751486751047,Yes,Contaminated,52.22224916621522
30.92049591477465,New,0.4302791567630591,Drum,53.40283647045595,Snow,276.4328017704494,Yes,Fresh,49.30477965987534
36.06668514448677,Fair,0.6535397938980203,Drum,27.879457165418625,Ice,649.4159366494976,Yes,Contaminated,192.2578883355781
103.20953281574936,Fair,0.5616340983107202,Disc,22.65547211940555,Ice,403.5521473124209,Yes,Fresh,124.08789668114532
105.15072973587576,Worn,0.869338081821261,Ceramic,21.092164502526153,Snow,241.07655589136672,Yes,Fresh,87.1715482994396
135.38290128911922,New,0.5142183257907469,Disc,87.67070933492809,Ice,,Yes,Old,163.2667135138587
105.48686094261909,Good,0.7557333621040998,Ceramic,12.840359415520027,Ice,612.933302967178,,Good,112.15440737391468
57.32574462188907,Fair,0.6498556460784215,Drum,97.93128336399049,Wet,187.54986761539834,Yes,Good,59.70761991929756
86.2219473244381,Fair,0.33274565516980575,Disc,,Wet,293.8861819824539,Yes,Fresh,53.24603154369116
127.07824808054262,Good,0.35063132880566905,Ceramic,19.929006719117034,Ice,254.89372876056328,Yes,,88.41896424141702
140.73899575180457,Fair,0.42189389291399415,Disc,61.92744892991156,Snow,365.8982401337165,Yes,Old,174.08073414807774
58.4298142760051,Fair,0.38589157370941557,Ceramic,17.198736214662695,Snow,634.4114269032451,Yes,Fresh,26.3678644681879
94.7525682015991,New,0.4976228937866656,Ceramic,64.22079368472355,Ice,599.595671592027,No,Good,55.42731013963118
49.071306020448326,Fair,0.6473933495992141,Disc,86.55639803322518,Snow,563.7667372685928,Yes,Good,180.23308648772942
89.63996387130831,Good,0.6614175258044318,Drum,14.310821932068235,Snow,104.39988210801384,Yes,Contaminated,37.520895259311345
40.81369448994013,Worn,0.6526606710976439,Disc,81.98817440756898,Wet,199.5003193662726,No,,131.48075787887115
143.0073683940569,Fair,0.3705651807798924,Drum,45.50296968839068,Snow,256.30828437144675,No,Good,54.49960310238965
106.56677499391385,New,0.6601352465162977,Ceramic,24.3541570448089,Dry,290.36909222719476,Yes,Contaminated,127.08536678969935
132.50600900564126,,0.5458481321144311,Ceramic,25.848683224071316,Wet,202.49857915423001,Yes,Fresh,85.87427086618294
149.79542090182875,Critical,0.8418315991516363,,92.68880893248036,Dry,387.2208860317227,Yes,Fresh,33.81022583973349
51.919919364645395,Fair,0.8471905176646168,Disc,19.9545176746598,Ice,152.62640950981813,Yes,Old,122.75788749750969
,Good,0.7609042960103036,Drum,88.01045084040913,Snow,625.0155332714465,,Contaminated,141.3629082106484
136.43835522082298,Fair,0.7218642906595345,Drum,58.98201588852531,Dry,651.4045511072735,Yes,Fresh,140.85043450867352
99.1125800894148,Fair,0.3689716303904838,Disc,13.515056093479517,Snow,501.98668272062866,Yes,Good,132.85136567845126
106.76356540398731,New,0.3508165269520183,Drum,51.80285311456045,Dry,162.7934139293775,Yes,Good,107.54158447307597
78.92053074205648,Good,0.8045002145484517,Drum,83.57045630286706,Wet,723.0582186827306,No,Good,111.10243411897525
110.97130004598168,Fair,0.5562094898744732,Disc,75.35825088751903,Ice,775.9450800956802,Yes,Old,132.59342031447252
77.46934976353486,Fair,0.5708173651205677,Disc,53.990417591624606,Dry,241.65449222525257,Yes,Fresh,142.6979819231286
87.1943565781738,Good,0.8086758540078183,Ceramic,87.40448917265954,Wet,593.2478736085038,No,,136.15219668380624
42.34940911473899,Fair,,Ceramic,20.832828560220673,Ice,689.35704144974,Yes,Fresh,123.58492950898857
30.9370080216458,Fair,0.4076443445412634,Disc,91.8946948053132,Dry,477.8904657798916,Yes,Contaminated,43.830212188761905
36.618134896673624,Good,0.4266079373924163,Ceramic,86.1797087635014,Dry,326.3261696687242,Yes,Contaminated,53.96405962117943
53.102596912512205,Good,0.30382630142090084,Drum,73.74491430915124,Wet,434.99110055624686,,Fresh,63.141443891539446
84.79245835140784,Fair,0.7264020563649389,Disc,83.60989679158743,Ice,458.5881255491164,Yes,Good,
32.51928850217447,Fair,0.5913669950966911,Ceramic,58.94339561583994,Ice,380.44593093161956,Yes,Good,155.48809198243882
48.7123966985079,Fair,0.8699783477022192,Disc,70.76461861879002,Wet,750.8897455435944,Yes,Contaminated,117.28036161432247
123.77335246613264,Good,0.7284076807489608,Ceramic,60.4538263637001,Snow,620.7181776597514,Yes,Good,
121.45998699144565,Fair,0.36189159645994,Disc,,Wet,268.9111495784748,Yes,Old,35.51493180017167
124.76763500105999,Worn,0.3969248759635617,Drum,61.197471762505984,,509.89003112390793,Yes,Old,181.27045680629533
140.58491318361285,Good,0.6010347880699956,Ceramic,33.17187992787331,Wet,582.0824056518172,Yes,Contaminated,180.14321292723966
44.2885200881423,Good,0.8549245011976396,,49.62512537567068,Snow,198.1094951914912,Yes,Good,35.47868520370294
49.57678514734596,Fair,,Drum,35.26978665342189,Wet,350.8980196661041,No,Contaminated,162.4850832278518
70.02643375215773,Good,0.7953481211474636,Ceramic,,Wet,733.8837971227412,,Old,97.62933782233384
139.81694387770915,Good,,Ceramic,38.96756707509155,Dry,497.02117012964106,Yes,Old,74.93388257364992
123.0573291607134,Good,0.4619383137334669,,86.67884963662935,Snow,251.89842224222178,Yes,Old,151.73433919861083
68.89455267987836,Good,0.8408356495982976,Drum,44.297269357807515,Ice,185.94935868340553,Yes,Fresh,128.65096509623515
40.51629813392819,Fair,0.32834495524359164,Disc,,Snow,462.7588254324144,Yes,Old,159.30556990476742
103.9656031378601,New,0.6964446232403064,Ceramic,25.767806881434513,Ice,483.3800061204009,Yes,Good,28.75083921709336
60.81829989667828,Worn,0.32590050856873387,Disc,48.19772432508775,Ice,334.09011594822863,Yes,Fresh,
93.73830791622638,Fair,0.7804582719429349,Disc,,Dry,541.291219893383,Yes,Old,74.07361732709612
143.01640315211722,Fair,0.7976426129733041,Drum,22.475895703074073,Snow,148.0792803535721,,Good,76.00432207323661
98.71406943772013,Good,0.8360139447957906,Drum,65.56927419010623,Dry,201.59778528629843,Yes,Old,107.95877643910401
140.86013237080368,Fair,,Ceramic,64.673363570411,Wet,482.39167470788146,Yes,Good,67.35755356997527
77.16465431938505,Fair,0.3746988935558403,Drum,29.2034716619376,Snow,143.27098569111777,Yes,Good,97.21096786619114
106.00216047465248,Fair,0.6021210279348802,,52.69808748599188,Wet,716.6361354937704,No,Old,83.03885472635193
137.2667968736357,Worn,0.4629795729360336,Ceramic,,Snow,199.50245931956175,Yes,Old,151.0297688837946
100.55847739309661,Fair,0.6637784833482392,Drum,25.67813578088346,Ice,571.7439118591756,No,Fresh,
103.7878412432525,Fair,0.6082483743424545,Disc,,Wet,373.8424092000977,Yes,Old,135.92144497870333
